image,label,task,ground_truth_json,source,license,group,source_sha256,content_sha256
data/pyro_sdis/sample_001.jpg,0,识别远距离烟雾并判断是否需要人工复核,"[{""category"":""smoke"",""bbox"":{""x1"":76.529,""y1"":486.742,""x2"":92.425,""y2"":514.72}},{""category"":""smoke"",""bbox"":{""x1"":1156.488,""y1"":311.22,""x2"":1219.643,""y2"":339.024}}]",fireviewer/fire-smoke-detection-corpus-v1@85ad763e6275537386f7eefdae5e3a18a55f1c71:pyro-sdis,Apache-2.0,pyro_sdis_a1e553e:force-06:courmettes-160:2024-04-03,2e0e1b99401b172f764f3e5a21c8f00c7bd134a214c5c0a0ab28398f1109a01a,406908fb2825f6734a8d935f0b07a5aff848354e7f70259c94c6a468467929e8
data/pyro_sdis/sample_002.jpg,0,识别远距离烟雾并判断是否需要人工复核,"[{""category"":""smoke"",""bbox"":{""x1"":422.311,""y1"":351.726,""x2"":549.242,""y2"":401.521}}]",fireviewer/fire-smoke-detection-corpus-v1@85ad763e6275537386f7eefdae5e3a18a55f1c71:pyro-sdis,Apache-2.0,pyro_sdis_a1e553e:force-06:cabanelle-125:2024-04-10,157fabbce54e86b8a56a148f0ee5652b427d60f6aba195efae8f243eb854d351,eb13d82a1c345bce9531cd4b223269fc5012f6bec3a9c64bc02b1696d397fd34
data/pyro_sdis/sample_003.jpg,0,识别远距离烟雾并判断是否需要人工复核,"[{""category"":""smoke"",""bbox"":{""x1"":397.235,""y1"":369.482,""x2"":490.632,""y2"":418.634}}]",fireviewer/fire-smoke-detection-corpus-v1@85ad763e6275537386f7eefdae5e3a18a55f1c71:pyro-sdis,Apache-2.0,pyro_sdis_a1e553e:force-06:courmettes-160:2024-06-07,88c318c73cc64f5cce48285032fba4ef704d177f77c12ce8214cdd7c75624244,5fbe40718eb6a806af5b702229ca27740f6329bd95fcbdaa596fead0f35546ae
data/pyro_sdis/sample_004.jpg,0,识别远距离烟雾并判断是否需要人工复核,"[{""category"":""smoke"",""bbox"":{""x1"":151.853,""y1"":495.482,""x2"":197.254,""y2"":547.315}}]",fireviewer/fire-smoke-detection-corpus-v1@85ad763e6275537386f7eefdae5e3a18a55f1c71:pyro-sdis,Apache-2.0,pyro_sdis_a1e553e:force-06:courmettes-160:2024-01-09,f50777c92229bd12e53e98d31705f09b1e3f01777ebd3f64f2f821899993466e,be200ad86aa9783907d17abaf63688fa8cbee166fb2494c6331a4521ab727e47
data/pyro_sdis/sample_005.jpg,0,识别远距离烟雾并判断是否需要人工复核,"[{""category"":""smoke"",""bbox"":{""x1"":640.129,""y1"":478.308,""x2"":695.185,""y2"":499.954}}]",fireviewer/fire-smoke-detection-corpus-v1@85ad763e6275537386f7eefdae5e3a18a55f1c71:pyro-sdis,Apache-2.0,pyro_sdis_a1e553e:force-06:courmettes-160:2024-02-28,2ec782e0d1160923155981f835117f1f9d72aee6cbc6699f6f9874c877080f75,6bf8e63e60bc10e34ea5c3e9db8597e1386352adbd24fb3e26ee4d287d7887fd
data/pyro_sdis/sample_011.jpg,0,识别远距离烟雾并判断是否需要人工复核,[],fireviewer/fire-smoke-detection-corpus-v1@85ad763e6275537386f7eefdae5e3a18a55f1c71:pyro-sdis,Apache-2.0,pyro_sdis_a1e553e:force-06:courmettes-160:2024-02-16,94a704b4e12c0cf75a76c2ff5bbd4c8bfce20829e692bb996ddaf8f97210949a,94a16cbd3519661491e606225e86d9cd3c161b4d95d08640a4231954825db671
data/pyro_sdis/sample_012.jpg,0,识别远距离烟雾并判断是否需要人工复核,[],fireviewer/fire-smoke-detection-corpus-v1@85ad763e6275537386f7eefdae5e3a18a55f1c71:pyro-sdis,Apache-2.0,pyro_sdis_a1e553e:force-06:courmettes-160:2024-02-18,4a250d9784b7da878e6859d825ed335341a09103927f6af9c10ad665eda2a2ec,a3f502fcd26183e5738ce8a35cd5d49bebb57a592d9ebb1d14e0265979a9101c
data/pyro_sdis/sample_013.jpg,0,识别远距离烟雾并判断是否需要人工复核,[],fireviewer/fire-smoke-detection-corpus-v1@85ad763e6275537386f7eefdae5e3a18a55f1c71:pyro-sdis,Apache-2.0,pyro_sdis_a1e553e:force-06:courmettes-160:2024-02-01,a146f202898f7b60245ae54e110a8eed0597d433939919efc08e3f9cc3317099,94b5b87c35635163b2d3c3f55b17c5e16a9e509684526a73df96e12cf76aa9f1
data/pyro_sdis/sample_014.jpg,0,识别远距离烟雾并判断是否需要人工复核,[],fireviewer/fire-smoke-detection-corpus-v1@85ad763e6275537386f7eefdae5e3a18a55f1c71:pyro-sdis,Apache-2.0,pyro_sdis_a1e553e:force-06:courmettes-160:2024-02-27,231e5bab68c4d996cecb01bb6bc4b659e6d7111dc892705c76975fee6170a675,d5cc8c34f6ca912ede3b5ebf7a2cb1b3b3f11df3ffcaf6a8d37fa5315ea69c95
data/pyro_sdis/sample_015.jpg,0,识别远距离烟雾并判断是否需要人工复核,[],fireviewer/fire-smoke-detection-corpus-v1@85ad763e6275537386f7eefdae5e3a18a55f1c71:pyro-sdis,Apache-2.0,pyro_sdis_a1e553e:force-06:courmettes-275:2024-02-09,f4d766f80f5b181c5cdfc25ae3b85eada4370a8a98243cd5c37ff4890e3fec46,0bd34a7bf70a1ae360ad14edc246a8320630cd589ed015e5a7d53a134da017ec
